name,keywords
Operational Amplifiers (Op-Amps),"[('op amp', 0.6367), ('amplifier', 0.5069), ('amplifiers', 0.5002), ('voltage amplifier', 0.4969), ('differential amplifiers', 0.4962)]"
Bipolar Junction Transistors (BJTs),"[('bjt transistors', 0.7412), ('transistor bjt', 0.711), ('junction transistor', 0.6782), ('types bjt', 0.6769), ('bjt types', 0.675)]"
NPN Transistor,"[('npn transistors', 0.7809), ('transistors type', 0.6354), ('npn type', 0.635), ('negative transistor', 0.5873), ('abbreviation npn', 0.5592)]"
PNP transistor ,"[('pnp transistors', 0.8009), ('pnp type', 0.6927), ('transistors type', 0.5996), ('pnp', 0.5995), ('abbreviation pnp', 0.5893)]"
Field-Effect Transistors (FETs),"[('transistor fet', 0.7244), ('field fets', 0.7101), ('fet semiconductor', 0.685), ('fet', 0.6273), ('fets', 0.5991)]"
NMOS (N-channel MOSFET),"[('nmos transistors', 0.7401), ('makes nmos', 0.5749), ('nmos', 0.5696), ('nmos channel', 0.5107), ('effect transistor', 0.471)]"
PMOS (P-channel MOSFET),"[('pmos transistors', 0.7445), ('nmos transistors', 0.6076), ('pmos', 0.5969), ('cmos technology', 0.5921), ('makes pmos', 0.5794)]"
PN Junction Diode,"[('junction diodes', 0.6314), ('junction diode', 0.6178), ('diode semiconductor', 0.6034), ('pn junction', 0.5407), ('diodes', 0.5155)]"
Zener Diode,"[('zener diode', 0.7092), ('zener diodes', 0.703), ('zener voltage', 0.5587), ('diodes', 0.4988), ('diode allows', 0.4952)]"
Schottky Diode,"[('schottky diodes', 0.7493), ('schottky diode', 0.7359), ('diode semiconductor', 0.5396), ('semiconductor diode', 0.5378), ('junction schottky', 0.5352)]"
Resistors,"[('resistor passive', 0.6842), ('resistors', 0.6838), ('resistor', 0.6731), ('elements resistors', 0.6304), ('resistors absorb', 0.6156)]"
Capacitors,"[('capacitor electrical', 0.6897), ('capacitors used', 0.689), ('capacitors', 0.6839), ('capacitor', 0.6656), ('material capacitors', 0.5772)]"
Inductors,"[('inductors', 0.7068), ('inductors useful', 0.7062), ('inductor', 0.7017), ('inductor passive', 0.6726), ('current inductor', 0.6692)]"
Transformers,"[('transformer', 0.6957), ('current transformer', 0.6595), ('transformer passive', 0.6547), ('transformer primary', 0.6541), ('coil transformers', 0.6533)]"
Voltage Regulators,"[('voltage regulator', 0.7563), ('voltage regulators', 0.7374), ('stabilize voltage', 0.5811), ('regulator', 0.5784), ('regulator electronic', 0.5772)]"
Potentiometers,"[('potentiometer', 0.7556), ('potentiometer variable', 0.7449), ('potentiometers', 0.7257), ('makes potentiometers', 0.7163), ('potentiometers useful', 0.6959)]"
Oscillators (Crystal Oscillators),"[('crystal oscillator', 0.8101), ('vibrating crystal', 0.664), ('oscillator', 0.647), ('crystal vibrates', 0.6339), ('oscillator electronic', 0.6207)]"
Thermistors,"[('thermistor type', 0.7297), ('thermistors resistance', 0.698), ('ptc thermistors', 0.6834), ('ntc thermistors', 0.655), ('thermistors ideal', 0.6384)]"
Low-Pass Filter,"[('low pass', 0.5721), ('pass filter', 0.5096), ('pass filters', 0.5087), ('filters commonly', 0.5066), ('low frequency', 0.504)]"
High-Pass Filter,"[('high pass', 0.5467), ('high frequency', 0.504), ('pass filter', 0.4933), ('pass filters', 0.4919), ('filters used', 0.4833)]"
Band-Pass Filter,"[('band pass', 0.5685), ('pass filters', 0.5538), ('pass filter', 0.5509), ('signal pass', 0.5037), ('filter electronic', 0.5026)]"
voltage source,"[('voltage source', 0.7462), ('source electrical', 0.5671), ('constant voltage', 0.5576), ('voltage output', 0.5131), ('ensuring voltage', 0.503)]"
current source,"[('current source', 0.6922), ('current sources', 0.6917), ('constant current', 0.6059), ('source electrical', 0.5376), ('current driven', 0.5197)]"
